English,Uzbek
giant,ulkan
grasp,ushlamoq
arrive,yetib bormoq
simplicity,oddiylik
autumn,kuz
absent,yo'q
legally,qonuniy ravishda
veil,parda
gloom,zulmat
doubtful,shubhali
suspect,gumondor
weapons,Qurollar
limits,chegaralar
determination,aniqlash
feeble,zaif
prophet,payg'ambar
Shak,Shod
gathering,yig'ilish
basis,asos
examine,Imtihon
corrupt,buzuq
payments,To'lovlar
returns,qaytish
laying,yotqizish
prize,mukofot
instances,Mustaqil holatlar
Greeks,Yunoncha
d,dum
they're,ular
theatre,teatr
purchase,sotib olish
comparison,taqqoslash
composition,kompozitsiya
rival,raqib
someone,kimnidir
realize,anglamoq
defeat,mag'lubiyat
demands,Talablar
foe,dushman
shared,umumiy
consists,tushunib bo'lmaydigan
studies,izlamoq
balance,qoldiq
intercourse,aloqa
ID,Id
forming,shakllantirish
slender,ingichka
coach,murabbiy
criminal,jinoyatchi
knocked,taqillatdi
silly,ahmoqona
humour,hazil
masses,mass
indifferent,befarq
recall,eslamoq
occupation,kasb
discourse,nutq
keeps,davom etadi
regions,Mintaqalar
intervals,intervallar
assist,yordam bermoq
novel,roman
intellect,aql-idrok
leads,qo'rg'oshin
hither,bu erda
tales,ertak
sale,sotish
revenge,qasos
Lucy,Lokal
yonder,yeyder
resources,Resurslar
jealous,rashkchi
we're,Biz
wheel,g'ildirak
invitation,taklifnoma
narrative,hikoya
risen,tirilgan
burnt,kuymoq
sentiments,kayfiyat
inferior,past
amusement,ko'ngil ochish
Marie,Mari
flash,chaqmoq
recognize,tanimoq
swiftly,tezda
portrait,portret
create,yaratmoq
summoned,chaqirish
suggest,taklif qilmoq
induced,qo'zg'atilgan
conflict,ziddiyat
fed,oziqlangan
curse,la'natlamoq
disappointment,umidsizlik
helpless,nochor
preparing,tayyorgarlik
construction,qurilish
Lincoln,Linkoln
zeal,g'ayrat
responsible,javobgar
indicated,ko'rsatilgan
groups,guruhlar
positive,ijobiy
Germans,Nemislar
attracted,jalb qilingan
vengeance,qasos
fort,qal'a
club,klub
cure,davolamoq
stout,pushaymon bo'lmoq
missed,o'tkazib yuborilgan
gracious,xushmuomala
include,qo'shmoq
flood,toshqin
satisfy,qoniqmoq
agony,azob-uqubat
respects,hurmat
ventured,boshlangan
implied,nazarda tutilgan
Maria,Mara
stupid,ahmoq
seas,dengizlar
Spaniards,Ispanlar
grain,don
enjoyment,zavq
wearing,kiyish
indifference,befarqlik
conceal,yashirmoq
horizon,ufq
pleasures,zavq
therein,unda
precisely,aynan
Canada,Kanada
day's,kun
assume,taxmin qilmoq
registered,Ro'yxatga olingan
estimate,baholamoq
steep,tik
route,marshrut
gardens,bog'lar
visitor,Mehmon
closer,yaqinroq
harmony,Garmoniya
non,nobud bo'lmagan
thunder,momaqaldiroq
wire,sim
graceful,nafis
crept,yig'lamoq
Greece,Gretsiya
childhood,bolalik
knee,tizza
saddle,egar
supplies,materiallar
weeping,yig'lamoq
mostly,asosan
paragraphs,paragraflar
unconscious,ongsiz
mutual,o'zaro
scorn,nafrat
grows,o'sadi
external,tashqi
agents,agentlar
software,dasturiy ta'minot
institutions,muassasalar
losing,yo'qotmoq
universe,koinot
clock,soat
attempts,urinishlar
instruction,ko'rsatma
injury,shikast yetkazmoq
roots,ildizi
receipt,kvitansiya
jumped,sakrab
dearest,azizim
sore,og'rigan
earliest,eng qadimgi
finest,eng yaxshi
enable,yoqib yubormoq
discipline,tarbiya
motives,motivlar
fastened,mahkamlangan
introduction,kirish
converted,aylantirilgan
wilderness,sahro
confused,chalkash
fancied,tez achchiqlanadigan
offices,Ofislar
slip,slip
revolution,inqilob
wedding,to'y
girl's,qiz
farmer,fermer
silently,jimgina
fires,yong'in
wept,yig'lamoq
behalf,nomidan
reckon,hisoblamoq
responded,javob berdi
uncertain,noaniq
neglected,beparvo
stroke,insult
exquisite,zebo
engagement,ishtirok etish
dirty,iflos
rolling,yalang'och
platform,platforma
messenger,elchi
privilege,imtiyoz
admirable,maqbari
offers,takliflar
mischief,zarar
physician,shifokor
imposed,yalang'och
organized,uyushgan
covering,yopiq
student,talaba
daring,jasur
cave,g'or
wars,urushlar
convey,tushuntirmoq
he'll,u
sincere,samimiy
tradition,an'ana
gravely,jiddiy
combined,birlashtirilgan
gallant,xalal
sensation,his qilish
travelling,sayohat
charges,ayblovlar
submit,topshirmoq
tragedy,fojia
specific,o'ziga xos
commander,qo'mondon
inn,karvonsaroy
stiff,qotib qolgan
accompany,hamroh bo'lmoq
score,Xol
virgin,bokira
farewell,vidolashuv
paradise,jannat
villages,qishloqlar
hunger,ochlik
trembled,titrab
favorite,sevimli
criticism,tanqid
proprietary,mulkdor
customs,Bojxona
cotton,paxta
Ruth,Rut
hospital,kasalxona
restrictions,Cheklovlar
outward,tashqi
impressed,ta'sirchan
blows,zarba
plains,tekisliklar
flashed,chaqnaydi
rent,ijara
prey,o'lja
owed,qarzdor
longing,orzu qilmoq
musical,musiqiy
satisfactory,qoniqarli
ridiculous,kulgili
sheet,varaq
disgrace,sharmanda qilmoq
colored,rangli
shouldn't,bo'lmasligi kerak
originally,avvalo
Samuel,Jodu
wages,ish haqi
papa,papa
gas,gaz
inevitable,muqarrar
extensive,keng
leisure,dam olish
deadly,halokatli
chin,langan
claimed,da'vo qilingan
glow,yaltiramoq
husband's,Erning
emotions,his-tuyg'ular
Adam,Odam
jealousy,rashk
leaf,barg
publication,nashr etish
Englishman,Inglizcha
Allah,Alloh
Jones,Jonzot
hostile,dushman
wandered,kezib ketmoq
railway,temir yo'l
translation,tarjima
procession,yurish
betrayed,xiyonat qilingan
pound,funt
admired,hayratga tushgan
elected,saylangan
Pierre,Pier
sunk,qorayib ketgan
ruins,xarobalar
eastern,sharqiy
roses,atirgul
citizen,fuqaro
reminded,eslatish
deceived,aldangan
tables,Jadvallar
beach,plyaj
starting,boshlamoq
funeral,dafn marosimi
arrested,hibsga olingan
flour,un
feature,o'ziga xos xususiyat
correspondence,yozishmalar
consisted,iborat
counted,hisoblangan
reserve,zaxira qilmoq
proceedings,sud jarayoni
roar,bo'kirmoq
romantic,romantik
twenty-five,yigirma besh
hut,kulba
strangely,g'alati
absorbed,so'rilgan
propose,taklif qilmoq
seats,O'rindiqlar
bark,po'stloq
reception,ziyofat
pleasing,yoqimli
attained,yetilgan
wake,uyg'onmoq
research,izlanish
prayed,ibodat qildi
monarch,monarx
clothing,kiyim-kechak
dollar,dollar
illness,kasallik
calmly,xotirjam
obeyed,itoat qilmoq
heartily,chin yurakdan
pressing,bosmoq
daylight,kun yorug'ligi
warriors,jangchi
jest,hazil
abruptly,to'satdan
washed,yuvilgan
comment,sharh
metal,metall
preparations,Tayyorgarlik
nerves,nervlar
solution,yechimi
pretended,o'zini tutgan
sixteen,o'n olti
assembly,yig'ish
tobacco,tamaki
entity,tashkilot
dwelling,turar joy
depart,ketmoq
swung,silkinmoq
bitterly,achchiq bilan
alteration,o'zgartirish
colony,koloniya
disclaimers,parvarish qiluvchilar
wing,qanot
peaceful,tinch
lion,sher
opportunities,imkoniyatlar
alarmed,xavotirlangan
furnish,jihozlamoq
resting,dam olish
accused,ayblanuvchi
culture,madaniyat
writings,yozish
dwelt,istiqomat qildi
conquered,zabt etilgan
trick,hiyla
trusted,ishonilgan
column,ustun
financial,moliyaviy
cunning,ayyor
preparation,tayyorgarlik
drama,drama
joke,hazil
entertained,ko'ngilchan
mist,tuman
hypertext,gipermatn
shell,qobiq
medicine,dori
proofread,isbotlamoq
nest,uya
reverence,ehtirom
situated,joylashtirilgan
yielded,mahnalik
conceive,homilador qilmoq
appointment,uchrashuv
lessons,Darslar
fetch,tanmoq
tomb,qabr
candle,sham
offence,jinoyat
coarse,qo'pol
heap,uyum
mixture,aralashma
homes,uylar
model,model
men's,Erkaklar
defect,nuqson
destined,belgilangan
occasional,tasodifiy
fourteen,o'n to'rt
hint,ishora qilmoq
knights,ritsarlar
solicit,so'ramoq
dreamed,orzu qilingan
objection,e'tiroz
craft,hunar
acid,kislota
namely,ya'ni
Asia,Osiyo
neglect,e'tiborsizlik
data,ma'lumotlar
weapon,qurol
confessed,iqror bo'lgan
arrangements,Bayramlar
repose,dam olmoq
complying,moslashtirmoq
copied,nusxa ko'chirilgan
pink,pushti
user,foydalanuvchi
heels,poshna
grandfather,bobosi
other's,Boshqalar
income,daromad
i.e.,I.E.
regards,Hurmatlar
streams,oqim
vigorous,kuchli
accepting,qabul qilish
bishop,episkop
lightning,chaqmoq
authors,mualliflar
flames,olov
observations,Kuzatuvlar
compressed,siqilgan
sport,sport
powder,kukun
beds,to'shak
orange,apelsin
painting,rasm
shout,baqirmoq
Austria,Avstriya
bath,Vanna
careless,beparvo
chap,bob
derivative,hosila
roused,gumonli
primitive,ibtidoiy
doorway,eshigi
climbed,ko'tarilmoq
volumes,jild
vulgar,qo'pol
arguments,dalillar
1st,1-chi
sunset,quyosh botishi
convenient,qulay
mail,pochta
recalled,esdan chiqqan
wrapped,o'ralgan
abode,turar joy
planted,ekilgan
paint,bo'yamoq
surrender,taslim bo'lmoq
establish,tuzatmoq
mild,yumshoq
promptly,zudlik bilan
appearing,paydo bo'lgan
department,Bo'lim
parish,podsho
Stephen,Stefan
nay,xiyobon
lit,yoritilgan
handkerchief,ro'molcha
basket,savat
easier,Sekinroq
deserve,loyiq bo'lmoq
quit,ketmoq
assurance,ishonch
mirror,oyna
plot,fitna
yer,yeyq
upward,yuqoriga
sadly,afsuski
secretary,kotib
adding,qo'shmoq
modest,kamtar
dish,idish
cares,g'amxo'r
straw,somon
net,sof
advised,maslahatchi
heavenly,samoviy
largest,eng katta
proceeding,ish yuritish
impatient,sabrsiz
wounds,yara
warmth,iliqlik
certainty,ishonch
restless,bezovta
meantime,shu bilan birga
rays,nurlar
salvation,najot
lovers,sevuvchilar
experiment,tajriba
shores,qirg'oq
today,Bugun
tremendous,ulkan
afforded,imtiyozli
moonlight,oy nuri
intend,niyat qilmoq
California,Kaliforniya
cultivated,o'stiriladigan
flushed,qizarib ketgan
Shakespeare,Shekspir
newspapers,gazetalar
rocky,rokka
pious,taqvodor
wont,odat
steam,bug '
improvement,yaxshilash
garments,Kiyimlar
Ned,Ned
treasury,xazina
merchants,savdogarlar
perpetual,doimiy
trained,o'rgatilgan
products,Mahsulotlar
affectionate,mehribon
dispute,bahslashmoq
visitors,tashrif buyuruvchilar
poison,zahar
proposition,taklif
maybe,balki
rifle,miltiq
warned,ogohlantirilgan
parting,xayrlashish
shield,qalqon
erected,qurilgan
employ,ishlamoq
prevailed,keng tarqalgan
talent,iste'dod
rises,ko'tariladi
climate,iqlim
chairs,Kafedralar
searched,tintuv qilingan
unlike,o'xshamagan
recover,tiklamoq
mate,umr yo'ldosh
arrange,tartibga keltirmoq
fortunes,falon
puzzled,hayron qolgan
committee,qo'mitasi
aged,qarigan
Ohio,Ayni
ashes,kulrang
ghost,arvoh
b,b
promises,Va'dalar
bushes,butalar
effective,samarali
distinguish,ajratmoq
manifest,ayon
comparatively,nisbatan
esteem,hurmat
blew,pirog
revelation,Vahiy
wash,yuvmoq
recognition,tan olish
confession,tan olish
clay,loy
nonsense,bema'ni gap
trunk,magistral
management,boshqaruv
undoubtedly,shubhasiz
dried,quritilgan
Dorothy,Dorotiy
chiefs,boshliqlar
coal,ko'mir
stolen,o'g'irlangan
earthly,erdagi
restore,tiklamoq
indirectly,bilvosita
lasted,davom etdi
selfish,xudbin
renewed,yangilangan
canoe,kanoe
protest,norozilik namoyishi
vice,jinoyat
races,irq
deemed,deb hisoblangan
temporary,vaqtinchalik
pile,qoziq
Frederick,Frederik
chapel,cherkov
moderate,mo''tadil
spell,afsun
Massachusetts,Massachusetsets
upright,tik
quoted,tirnoq
area,maydoni
bone,suyak
solitude,yolg'izlik
instruments,asboblar
formal,rasmiy
students,Talabalar
greatness,buyuklik
struggling,kurashmoq
Monday,Dushanba
reproach,tanbeh
altered,o'zgartirilgan
grim,shodlik
leaped,sakrab ketdi
Venice,Venetsiya
federal,federal
questioned,so'roq qilingan
editor,muharrir
desirable,istalgan
acknowledge,tanimoq
motionless,harakatsiz
remedy,mug'ambirlik
bestowed,ashaddiy
pursue,ta'qib qilmoq
representative,vakil
pole,qutb
gladly,mamnuniyat bilan
linen,zig'ir
vital,muhim
sink,cho'kmoq
pacific,tinchlik
hopeless,umidsiz
dangers,xavf-xatar
gratefully,minnatdor
president,Prezident
travelled,sayohat qilingan
ward,palata
nephew,jiyan
ms,Xonim
cheer,hayqiriq
bloody,qonli
siege,qamal
commands,buyruqlar
justified,asosli
Atlantic,Atlantika
stomach,oshqozon
improved,yaxshilangan
admire,qoyil qolmoq
openly,ochiq
sailors,dengizchilar
abide,rohatlanmoq
advancing,davom ettirish
forests,o'rmonlar
records,Yozuvlar
Polly,Changlamoq
recorded,yozib olingan
modification,o'zgartirish
dramatic,dramatik
statements,bayonotlar
upstairs,yuqori qavat
varied,turli-tuman
letting,ijaraga bermoq
Wilson,Uilson
comrades,o'rtoqlar
sets,to'plamlar
descent,nasl
whither,qaymoq
envy,hasad
load,yuklamoq
pretend,o'zini tutmoq
folded,bukilgan
brass,jinni
internal,ichki
furious,g'azablangan
curtain,parda
healthy,sog'lom
obscure,noaniq
summit,sammit
alas,alas
fifth,beshinchi
center,markaz
faced,duch kelgan
cheap,arzon
saints,azizlar
colonel,polkovnik
Egyptian,Misrlik
contest,musobaqa
owned,ega
adventures,sarguzashtlar
exclusion,chiqarish
seize,qo'lga olmoq
chances,Imkoniyatlar
springs,buloq
alter,o'zgarmoq
landing,qo'nish
fence,panjara
leagues,ligalar
glimpse,qaramoq
statue,haykal
contract,shartnoma
luxury,hashamat
artillery,artilleriya
doubts,shubhalar
saving,tejash
fro,foh
string,satr
combination,kombinatsiya
awakened,uyg'onish
faded,xira
arrest,hibsga olmoq
protected,himoyalangan
temperature,harorat
strict,qattiq
contented,mamnun
professional,professional
intent,niyat
brother's,birodarning
injured,jarohatlangan
neighborhood,Turar joy dahasi
Andrew,Asryu
abundance,mo'llik
smoking,chekish
yourselves,o'zingiz
medical,tibbiy yordam
garrison,garnizon
likes,yoqtirish
corps,korpus
heroic,qahramon
inform,xabar bermoq
wife's,xotinning
retained,saqlanib qolgan
agitation,tashviqot
nobles,zodagonlar
prominent,taniqli
institution,muassasa
judged,xolis
embrace,quchoqlamoq
wheels,rul
closing,yopiq
damaged,shikastlangan
pack,o'ramoq
affections,Sevgi
eldest,to'ng'ich
anguish,iztirobli
surrounding,atrofdagi
obviously,aniq
strictly,qat'iy
capture,qo'lga olmoq
drops,tomchi
inquire,so'ramoq
ample,mo'l-ko'l
remainder,qolgan qismi
justly,odilona
recollection,eslash
deer,kiyik
answers,Javoblar
bedroom,yotoqxona
purely,sof holda
bush,bush
plunged,pirog
thyself,o'zing
joint,qo'shma
refer,murojaat qilmoq
expecting,kutish
madam,xonim
railroad,temir yo'l
spake,gapirmoq
respecting,hurmatga sazovor
Jan,Yanvar
columns,ustunlar
weep,yig'lamoq
identify,aniqlamoq
discharge,bo'shatish
bench,skameyka
Ralph,Ralf
heir,merosxo'r
oak,eman
rescue,qutqarmoq
limit,chegara
unpleasant,yoqimsiz
anxiously,xavotirlik bilan
innocence,aybsizlik
awoke,uyg'onish
expectation,kutish
incomplete,tugallanmagan
program,dastur
reserved,zahiralangan
secretly,yashirincha
we've,Biz
invention,kashfiyot
faults,yoriqlar
disagreeable,rozi bo'lmaydigan
piano,pianino
defeated,mag'lubiyatga uchragan
charms,maftun
purse,hamyon
persuade,ishontirmoq
deprived,mahrum qilmoq
electric,elektr
endless,cheksiz
interval,oraliq
chase,ketidan quvmoq
heroes,qahramonlar
invisible,ko'rinmas
well-known,taniqli
occupy,egallamoq
Jacob,Jasorat
gown,xalat
cruelty,shafqatsizlik
lock,qulflamoq
lowest,eng past
hesitation,ikkilanish
withdrew,chekinmoq
proposal,taklif
destiny,taqdir
recognised,tan olingan
commons,ayirmoq
foul,qo'pol
loaded,yuklangan
amidst,ikki
titles,unvon
ancestors,ajdodlar
types,turlari
commanding,buyruq
madness,jinnilik
happily,baxtiyor
assigned,tayinlangan
declined,o'chdi
temptation,vasvasa
lady's,xonim
subsequent,keyingi
jewels,qimmatbaho toshlar
breathed,nafas olayotgan
willingly,bajonidil
youthful,yosh
bells,qo'ng'iroqlar
spectacle,tomosha
uneasy,xavotirli
shine,porlamoq
formidable,juda katta
stately,to'g'ri
machinery,dastgoh
fragments,parcha
rushing,shoshqaloqlik
attractive,jozibali
product,mahsulot
economic,iqtisodiy
sickness,kasallik
uses,Foydalanish
dashed,tirishqoq
engine,dvigatel
ashore,qirg'oqqa
dates,xurmo
theirs,ularning
adv,maslahat
clasped,qashshoq
international,xalqaro
leather,teri
spared,tirik
crushed,ezilgan
interfere,aralashmoq
subtle,nozik
waved,to'lqinlangan
slope,qiyalik
floating,suzuvchi
worry,tashvishlanmoq
effected,amalga oshirilgan
passengers,yo'lovchilar
violently,qattiq
donation,xayr-ehson
steamer,qaynatgich
witnesses,guvohlar
Word,So'z
specified,belgilangan
learnt,o'rgangan
stores,do'konlar
designed,rejalashtirilgan
guessed,taxmin qilingan
roger,roger
timber,yog'och
talents,iste'dodlar
heed,diqqat-e'tibor
Jackson,Jadal
murdered,o'ldirilgan
vivid,yorug '
woe,voy
calculate,hisoblamoq
killing,o'ldirish
Laura,Lora
savages,yiroqlash
wasted,isrof qilingan
trifle,arzimoq
funny,kulgili
pockets,cho'ntaklar
philosopher,faylasuf
insult,haqorat qilmoq
den,den
representation,vakillik
incapable,qobiliyatsiz
eloquence,notiqlik
dine,ovqatlanmoq
temples,ma'badlar
Ann,Ann
sensitive,sezgir
robin,robin
appetite,ishtaham
wishing,istamoqchi
picturesque,chiroyli
Douglas,Donilas
courtesy,xushmuomala
flowing,oqadigan
remembrance,eslatmoq
lawyers,Advokatlar
sphere,soha
murmur,nolish
elegant,oqlangan
honourable,sharafli
stopping,to'xtash
guilt,ayb
welfare,farovonlik
avoided,qochib qolgan
fishing,baliq ovlash
perish,halok bo'lmoq
sober,hushyor
steal,o'g'irlamoq
delicious,mazali
infant,go'dak
lip,lab
Norman,Nordon
offended,xafa bo'lgan
dost,dost
memories,xotira
wheat,bug'doy
Japanese,Yapon
humor,hazil
exhibited,namoyish etilgan
encounter,duch kelmoq
footsteps,oyoq tovushlari
marquis,markiz
smiles,jilmaymoq
amiable,ayyorlik
twilight,oqshom
arrows,o'qlar
consisting,dan iborat
park,park
retire,nafaqaga chiqmoq
economy,iqtisodiyot
sufferings,azob chekish
secrets,sir
na,nod
halted,to'xtovsiz
govern,boshqarmoq
favourable,qulay
colors,ranglar
translated,tarjima qilingan
stretch,cho'zmoq
formation,shakllantirish
immortal,o'lmas
gallery,galereya
parallel,parallel
lean,suyanmoq
tempted,vasvasaga tushgan
frontier,chegara
continent,qit'a
knock,taqillatmoq
impatience,sabrsizlik
unity,birlik
dealing,muomala
prohibition,man etish
decent,munosib
fiery,olovli
images,rasmlar
tie,bog'lamoq
punished,jazoladi
submitted,topshirilgan
Julia,Julia
Albert,Albert
rejoined,aksincha
speedily,tezda
consented,ma'qullangan
major,katta
preliminary,dastlabki
cell,uyali
void,bo'sh
placing,joylashtirish
prudence,ehtiyotkorlik
egg,tuxum
amazement,hayratda qoldiradigan
border,chegara
artificial,sun'iy
hereafter,oxiri
fanny,fadab
crimes,jinoyatlar
breathe,nafas olmoq
exempt,ozod qilmoq
anchor,langar
Chicago,Chikago
sits,o'tiradi
purchased,sotib olingan
eminent,taniqli
neighbors,qo'shnilar
glowing,yarqirash
sunlight,quyosh nuri
examples,misollar
exercised,bajarilgan
wealthy,boy
seeming,ko'rinadigan
Bonaparte,Bonapart
shouting,baqiriq
thanked,minnatdorchilik bildirgan
illustrious,mashhur
curiously,qiziq
inspiration,ilhomlantirish
seeds,urug'lar
naval,dengiz floti
foes,dushman
everyone,hamma
longed,uzoq vaqt
abundant,mo'l-ko'l
doubted,shubha qilingan
painter,rassom
greeted,salomlashish
erect,ko'tarmoq
glasses,ko'zoynak
meanwhile,Shu bilan birga
shooting,otishma
Athens,Afina
wagon,vagon
lend,qarz bermoq
lent,lent
crisis,inqiroz
undertake,xolis qilmoq
particulars,Xususan
eh,ilmoq
veins,tomir
polite,muloyim
Anna,Anna
experiences,tajriba
seal,muhr
header,sarlavha
clergy,ruhoniy
mount,tog '
array,massiv
corners,burchaklar
magazine,jurnal
loudly,baland ovozda
bitterness,achchiqlik
Texas,Rohas
guardian,vasiy
searching,izlamoq
rejected,rad etildi
harsh,qo'pol
includes,o'z ichiga oladi
boldly,jasorat bilan
Maurice,Kyuresi
Kate,Kate
lunch,tushlik
pine,qarag'ay
shells,chig'anoqlar
seconds,soniya
despite,qaramay
hoping,umid qilmoq
injustice,adolatsizlik
expressions,iboralar
flies,pashshalar
push,Durang
tight,qattiq
problems,muammolar
landscape,landshaft
sue,sudxo'r
protested,norozilik bildirilgan
scarlet,qirmizi
abandon,voz kechmoq
artistic,badiiy
mainly,asosan
measured,o'lchanadigan
loyal,sodiq
boiling,qaynab turgan
desirous,istalgan
suited,mos
alliance,ittifoq
advise,maslahat bermoq
waist,bel
sinking,cho'kish
apprehension,ushlash
stable,barqaror
gregory,nogiron
maximum,maksimal
commit,bajarmoq
hideous,yoqimsiz
hamilton,xamilton
sweetness,shirinlik
dismissed,ishdan bo'shatilgan
tore,yiringlamoq
affect,ta'sir qilmoq
shaken,silkitmoq
evils,yomonlik
unworthy,noloyiq
significance,ahamiyatlilik
modified,o'zgartirilgan
miracle,mo''jiza
lieu,leytgi
peasant,dehqon
considerably,sezilarli darajada
observing,kuzatish
conveyed,etkazilgan
resemblance,o'xshashlik
extend,cho'zmoq
riches,boylik
personally,shaxsan
morality,axloq
rebellion,isyon ko'tarish
thread,ip
dumb,soqov
inclination,moyillik
forbidden,taqiqlangan
copper,mis
differences,farq
sailor,dengizchi
requested,talab qilingan
Alfred,Alfred
response,javob
promoting,targ'ibot
imperial,imperator
blank,bo'sh
purity,tozalik
victor,viktor
bending,egiluvchan
solemnly,tantanali ravishda
twenty-four,yigirma to'rt
minor,kichkina
del,del
crimson,chig'anoq
republic,respublika
teachers,O'qituvchilar
ma'am,masi
danced,raqsga tushgan
bargain,savdo-sotiq
dealt,muomala qilmoq
fatigue,charchash
telephone,telefon
cents,tsent
whip,qamchi
Adams,Adams
dislike,yoqtirmaslik
witnessed,guvoh bo'lgan
infantry,piyoda askar
acres,gektar
checked,tekshirilgan
countrymen,vatandoshlar
enemy's,dushmanning
companies,kompaniyalar
normal,normal
shirt,ko'ylak
addresses,manzillar
introduce,tanishtirmoq
sofa,divan
mothers,onalar
sweep,supurmoq
conversion,konversiya
sketch,eskiz
African,Afrikalik
deserved,loyiq
answering,javob
virtuous,fazilatli
Persian,Fors tili
anyway,nima bo'lganda ham
thief,o'g'ri
driver,haydovchi
retain,saqlab qolmoq
constructed,qurilgan
Daniel,Doniel
UT,Ut
Philadelphia,Flamadelfiya
conspicuous,ko'zga ko'rinadigan
channel,kanal
nobility,zodagon
Edith,Edit
Berlin,Biblin
editing,tahrir
Cambridge,Kamogrij
declaration,e'lon qilish
guards,soqchilar
personality,shaxsiyat
smallest,eng kichik
excess,ortiqcha
separation,ajratish
disgust,jirkanish
ha,ha
accomplish,amalga oshirmoq
speeches,Nutqlar
Herbert,Qahr
convent,marhamatli
rightly,to'g'ri
suspended,to'xtatib qo'yilgan
reform,islohot
mob,olomon
thirst,chanqoq
unnecessary,keraksiz
treasures,xazina
asks,so'raydi
viewed,ko'rilgan
designs,Dizaynlar
gleam,yaltirash
threatening,tahdid
palm,kaft
Missouri,Missouri
filling,to'ldirish
quoth,jarroh
fur,mo'yna
fortnight,ikki hafta
holes,teshiklari
addressing,murojaat qilish
frightful,qo'rqinchli
encourage,rag'batlantirmoq
speaker,karnay
tribute,o'lpon
procure,sotib olmoq
frankly,ochiqchasiga
recommended,tavsiya etilgan
relieve,yengillashtirmoq
intentions,niyat
unjust,adolatsiz
legislation,qonunchilik
project,loyiha
threshold,ostona
merits,afzalliklari
morrow,erta
traces,izlar
induce,sabab bo'lmoq
spear,nayza
inward,ichkariga
pupils,O'quvchilar
corresponding,mos
fairy,shiddatli
conclude,xulosa qilmoq
clung,yopishqoq
neat,pokiza
lucky,omadli
lap,tizza
session,sessiya
torture,qiynoq
damp,nam
ridge,tizma
spoil,o'lja
liable,javobgar
swords,qilich
hearty,samimiy
BC,Bc
Abraham,Ibrohim
thoughtful,o'ychan
traveller,sayohatchi
chains,zanjirlar
favorable,qulay
tin,qalay
imp.,Imp.
strongest,eng kuchli
Horace,Xoraas
dependent,qaram
couch,divan
bills,Billlar
warrant,kafolat bermoq
complaint,shikoyat
endeavour,harakat qilmoq
sails,yelkanlar
dined,ovqatlangan
convention,konventsiya
guarded,qo'rqinchli
angle,burchak
widely,keng
Illinois,Illat
Charlotte,Chuchlotte
endeavoured,harakatga kelingan
ardent,ajoyib
cow,sigir
mill,tegirmon
victims,jabrlanganlar
prejudice,xurofot
foremost,birinchi o'rinda
map,xaritasi
probability,ehtimol
porch,ayvon
lieutenant,leytenant
surprising,hayratlanarli
fountain,favvora
sustained,barqaror
appropriate,muvofiq
Ford,Fori
Clara,Klara
assisted,yordam ko'rsatgan
Lewis,Lyuis
rejoice,xursand bo'lmoq
extending,cho'zilgan
marvellous,ajoyib
clothed,kiyingan
Jew,Yahudiy
collar,yoqa
bands,guruhlar
confident,o'ziga ishongan
hasty,shoshqaloq
nigh,yaqin
organ,organ
prose,nasr
privileges,imtiyozlar
selection,tanlash
inquiries,Savollar
codes,Kodlar
replace,almashtirmoq
saint,avliyo
districts,Tumanlar
deliberately,ataylab
awe,qo'rqitmoq
beforehand,oldindan
strife,janjalkash
released,ozod qilingan
compare,solishtirmoq
beer,pivo
retorted,tantanali
relate,aytib bermoq
cheerfully,quvnoq
pistol,to'pponcha
presume,taxmin qilmoq
velvet,baxmal
wretch,favqulodda
Susan,Suran
Pennsylvania,Pensilvaniya
stirring,aralashtirish
righteousness,solihlik
missing,yo'qolgan
fain,g'altak
facing,qaramoq
fashionable,moda
producing,ishlab chiqarish
peoples,xalqlar
positively,ijobiy
reasoning,fikr yuritish
gravity,og'irlik
disturb,bezovta qilmoq
sermon,va'z
exchanged,almashtirilgan
partner,sherik
brains,miyang
lowered,tushirilgan
association,uyushma
estates,belgilar
abuse,suiiste'mol qilmoq
flock,surbet
niece,jiyan
languages,tillar
asserted,tasdiqlangan
bodily,tana
notions,tushunchalar
Oliver,Oliver
faculty,fakultet
cannon,to'p
thirteen,o'n uch
sailing,yelkanli
rings,uzuk
smart,aqlli
possessions,mol-mulk
disciples,shogirdlar
petty,arzimagan
widest,eng keng
divisions,bo'linish
prudent,ehtiyotkor
caution,ehtiyot bo'lish
justify,oqlamoq
awhile,juda uzoq muddat davomida; Vaqt oralig'i
boxes,qutilar
manuscript,Qo'lyozma
cigar,sigaret
warrior,jangchi
impressions,taassurotlar
aught,aught
lifting,ko'tarish
inaccurate,noto'g'ri
tidings,xushxabar
Friday,Juma
liquid,suyuqlik
staying,qolish
concept,tushuncha
creek,daryo
lo,lo
brush,cho'tka
download,yuklab olish
specially,alohida
cream,qaymoq
meetings,Uchrashuvlar
jump,sakramoq
unwilling,xohlamaydigan
adapted,moslashtirilgan
practised,tajribali
combat,jang
subdued,bo'ysungan
Jewish,Yahudiy
innumerable,son-sanoqsiz
blowing,puflamoq
extra,qo'shimcha
civilized,madaniyatli
invented,ixtiro qilingan
Japan,Yapon
pitch,ohang
cliff,jarlik
crowned,toj kiygan
portions,qismlar
awkward,g'alati
horrid,dahshatli
pulling,tortmoq
appreciate,qadrlamoq
communicated,xabar beradigan
Kentucky,Kentukuk
jury,hakamlar hay'ati
